Exp,n_reps,Oil,Surfactant,Cosurfactant,API_Name,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability,size_score (w=3),pdi_score  (w=2),zeta_score (w=1),dl_score   (w=2),perm_score (w=3),formulation_loss,stability_factor,objective
B4,3,Capryol_90,Tween_20,Ethanol,blank,8.25,17.0,23.0,1.6499999999999997,11.69,0.16977777766666668,-3.401111111,0.0,,,0.0,0.07753086407407409,0.0,0.0,0.0,0.15506172814814817,1.0,0.15506172814814817
D3,3,Capryol_90,Tween_80,Tween_80,blank,7.875,10.5,29.5,0.8249999999999998,15.280000000000001,0.18566666666666665,-2.23,0.0,,,0.0,0.09518518518518515,0.0,0.0,0.0,0.1903703703703703,1.0,0.1903703703703703
E2_A,3,Capryol_90,Tween_20,Transcutol_HP,A190,8.325,18.5,21.5,2.025,86.69555556666666,0.219888889,-3.4066666669999996,0.0,101.17059635666665,2.1633333333333335e-05,0.0,0.13320987666666667,0.0,0.009004587358974228,-0.016333333333333335,0.2354289280512818,1.0,0.2354289280512818
E2,3,Capryol_90,Tween_20,Transcutol_HP,blank,8.325,18.5,21.5,2.025,12.406666666666666,0.21599999999999997,-4.876666666666666,0.0,,,0.0,0.12888888888888886,0.0,0.0,0.0,0.2577777777777777,1.0,0.2577777777777777
F5_A,3,Capryol_90,Tween_20,PEG_400,A190,10.0,20.0,20.0,2.0,157.82222223333335,0.260777778,-2.657777777666667,0.0,103.72026620000001,2.883333333333333e-05,0.06424691359259262,0.17864197555555555,0.0,0.028617432307692398,-0.08833333333333329,0.34225955650427387,1.0,0.34225955650427387
Misc42,3,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,1.0,96.65666667,0.31988888866666665,-2.716666666666667,0.0,,,0.0,0.24432098740740738,0.0,0.0,0.0,0.48864197481481475,1.0,0.48864197481481475
Misc43,3,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,2.0,95.88666666666667,0.3235555553333333,-2.0277777780000004,0.0,,,0.0,0.24839506148148144,0.0,0.0,0.0,0.4967901229629629,1.0,0.4967901229629629
Ran5,3,Capryol_90,Tween_20,PEG_400,blank,10.0,20.0,20.0,2.0,148.14444443333332,0.2692222223333333,-3.005555555666666,0.0,,,0.05349382714814813,0.18802469148148146,0.0,0.0,0.0,0.5365308644074074,1.0,0.5365308644074074
A2,3,Capryol_90,Tween_80,Propylene_Glycol,blank,7.875,21.600000000000005,18.4,1.6499999999999997,122.7888889,0.31,-2.3555555556666667,0.0,,,0.02532098766666667,0.2333333333333333,0.0,0.0,0.0,0.5426296296666666,1.0,0.5426296296666666
Misc18,3,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,2.5,125.18888886666666,0.3064444446666667,-2.2100000000000004,0.0,,,0.027987654296296287,0.22938271629629634,0.0,0.0,0.0,0.5427283954814816,1.0,0.5427283954814816
D5,3,Maisine_Oil,Tween_80,Propylene_Glycol,blank,7.5,12.5,27.5,1.7250000000000003,132.21,0.296,-3.0733333333333337,0.0,,,0.0357888888888889,0.21777777777777774,0.0,0.0,0.0,0.5429222222222222,1.0,0.5429222222222222
E5,3,Capmul_MCM,Tween_80,Transcutol_HP,blank,7.875,16.5,23.5,2.9249999999999994,114.57666666666667,0.328,-3.623333333333333,0.0,,,0.0161962962962963,0.25333333333333335,0.0,0.0,0.0,0.5552555555555556,1.0,0.5552555555555556
A5,3,Capryol_90,Tween_80,Propylene_Glycol,blank,7.875,21.600000000000005,18.4,2.25,117.38888889999998,0.349,-3.106666666666667,0.0,,,0.019320987666666647,0.2766666666666666,0.0,0.0,0.0,0.6112962963333332,1.0,0.6112962963333332
Misc44,3,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,3.0,99.41444444666666,0.38511111133333337,-2.0255555556666667,0.0,,,0.0,0.3167901237037037,0.0,0.0,0.0,0.6335802474074074,1.0,0.6335802474074074
A1,3,Capryol_90,Tween_80,Propylene_Glycol,blank,7.875,21.600000000000005,18.4,1.515,134.20000000000002,0.3353333333333333,-2.432222222,0.0,,,0.03800000000000002,0.2614814814814814,0.0,0.0,0.0,0.636962962962963,1.0,0.636962962962963
Ran6,3,Capryol_90,Tween_80,Ethanol,blank,13.3333333,30.0,10.0,0.0,171.11111110000002,0.2978888886666667,-2.2666666666666666,0.0,,,0.07901234566666669,0.21987654296296297,0.0,0.0,0.0,0.676790122925926,1.0,0.676790122925926
Ran7,3,Capryol_90,Tween_20,Propylene_Glycol,blank,11.6666667,13.300000000000002,26.7,0.5,150.7888889,0.32888888866666666,-3.8066666666666666,0.0,,,0.056432098777777766,0.2543209874074074,0.0,0.0,0.0,0.6779382711481481,1.0,0.6779382711481481
Misc15,3,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,1.5,108.92222223333333,0.4052222223333333,-2.1022222223333333,0.0,,,0.009913580259259255,0.3391358025925925,0.0,0.0,0.0,0.7080123459629628,1.0,0.7080123459629628
