Exp,Rep,Oil,Surfactant,Cosurfactant,API_Name,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Droplet_Size,PDI,Zeta_P,Phase_Sep,size_score (w=1),pdi_score (w=1),zeta_score (w=1),sep_score (w=10),objective
D3,1,Capryol_90,Tween_80,Tween_80,blank,7.875,10.5,29.5,0.825,13.24,0.117,-2.43,0,0.0,0.02925,0.0,0.0,0.02925
B4,2,Capryol_90,Tween_20,Ethanol,blank,8.25,17.0,23.0,1.65,10.96333333,0.119,-3.2,0,0.0,0.02975,0.0,0.0,0.02975
B4,3,Capryol_90,Tween_20,Ethanol,blank,8.25,17.0,23.0,1.65,11.20666667,0.127,-3.71,0,0.0,0.03175,0.0,0.0,0.03175
E2,3,Capryol_90,Tween_20,Transcutol_HP,blank,8.325,18.5,21.5,2.025,11.27,0.147,-4.05,0,0.0,0.03675,0.0,0.0,0.03675
F5_F,2,Capryol_90,Tween_20,PEG_400,Feno,10.0,20.0,20.0,2.0,12.72333333,0.166666667,-4.216666667,0,0.0,0.04166666675,0.0,0.0,0.04166666675
E2_F,1,Capryol_90,Tween_20,Transcutol_HP,Feno,8.325,18.5,21.5,2.025,12.18333333,0.179333333,-3.433333333,0,0.0,0.04483333325,0.0,0.0,0.04483333325
E2,1,Capryol_90,Tween_20,Transcutol_HP,blank,8.325,18.5,21.5,2.025,10.97,0.18,-4.01,0,0.0,0.045,0.0,0.0,0.045
D3,3,Capryol_90,Tween_80,Tween_80,blank,7.875,10.5,29.5,0.825,15.48,0.191,-2.3,0,0.0,0.04775,0.0,0.0,0.04775
F5_F,3,Capryol_90,Tween_20,PEG_400,Feno,10.0,20.0,20.0,2.0,13.01666667,0.198,-3.073333333,0,0.0,0.0495,0.0,0.0,0.0495
B3,3,Capryol_90,Tween_80,Tween_80,blank,8.025,11.0,29.0,2.55,16.72,0.224666667,-2.926666667,0,0.0,0.05616666675,0.0,0.0,0.05616666675
E2_F,2,Capryol_90,Tween_20,Transcutol_HP,Feno,8.325,18.5,21.5,2.025,13.16,0.229666667,-4.216666667,0,0.0,0.05741666675,0.0,0.0,0.05741666675
E2_A,1,Capryol_90,Tween_20,Transcutol_HP,A190,8.325,18.5,21.5,2.025,121.1666667,0.150333333,-2.226666667,0,0.023518518555555548,0.03758333325,0.0,0.0,0.06110185180555555
D3,2,Capryol_90,Tween_80,Tween_80,blank,7.875,10.5,29.5,0.825,17.12,0.249,-1.96,0,0.0,0.06225,0.0,0.0,0.06225
E2_A,3,Capryol_90,Tween_20,Transcutol_HP,A190,8.325,18.5,21.5,2.025,69.53666667,0.249666667,-4.366666667,0,0.0,0.06241666675,0.0,0.0,0.06241666675
E2_F,3,Capryol_90,Tween_20,Transcutol_HP,Feno,8.325,18.5,21.5,2.025,11.81666667,0.259,-3.386666667,0,0.0,0.06475,0.0,0.0,0.06475
E2_A,2,Capryol_90,Tween_20,Transcutol_HP,A190,8.325,18.5,21.5,2.025,69.38333333,0.259666667,-3.626666667,0,0.0,0.06491666675,0.0,0.0,0.06491666675
B4,1,Capryol_90,Tween_20,Ethanol,blank,8.25,17.0,23.0,1.65,12.9,0.263333333,-3.293333333,0,0.0,0.06583333325,0.0,0.0,0.06583333325
Misc43,2,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,2.0,97.62666667,0.284,-2.046666667,0,0.0,0.071,0.0,0.0,0.071
Misc44,2,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,3.0,96.74666667,0.296666667,-1.746666667,0,0.0,0.07416666675,0.0,0.0,0.07416666675
Misc43,3,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,2.0,90.60333333,0.297333333,-1.95,0,0.0,0.07433333325,0.0,0.0,0.07433333325
B4_A,1,Capryol_90,Tween_20,Ethanol,A190,8.25,17.0,23.0,1.65,25.79666667,0.297666667,-3.636666667,0,0.0,0.07441666675,0.0,0.0,0.07441666675
E5,1,Capmul_MCM,Tween_80,Transcutol_HP,blank,7.875,16.5,23.5,2.925,116.87,0.285,-4.63,0,0.01874444444444445,0.07125,0.0,0.0,0.08999444444444445
Misc18,3,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,2.5,120.8333333,0.295666667,-2.563333333,0,0.023148148111111117,0.07391666675,0.0,0.0,0.09706481486111111
Ran7,2,Capryol_90,Tween_20,Propylene_Glycol,blank,11.6666667,13.3,26.7,0.5,133.3,0.263333333,-3.903333333,0,0.03700000000000001,0.06583333325,0.0,0.0,0.10283333325000002
A2,2,Capryol_90,Tween_80,Propylene_Glycol,blank,7.875,21.6,18.4,1.65,129.3,0.294,-2.263333333,0,0.03255555555555557,0.0735,0.0,0.0,0.10605555555555557
D5,2,Maisine_Oil,Tween_80,Propylene_Glycol,blank,7.5,12.5,27.5,1.725,131.3,0.297,-3.11,0,0.03477777777777779,0.07425,0.0,0.0,0.10902777777777778
D5,3,Maisine_Oil,Tween_80,Propylene_Glycol,blank,7.5,12.5,27.5,1.725,131.73,0.296,-3.68,0,0.03525555555555555,0.074,0.0,0.0,0.10925555555555555
Ran7,3,Capryol_90,Tween_20,Propylene_Glycol,blank,11.6666667,13.3,26.7,0.5,133.3,0.291,-3.346666667,0,0.03700000000000001,0.07275,0.0,0.0,0.10975000000000001
