Exp,n_reps,Oil,Surfactant,Cosurfactant,API_Name,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability,size_score (w=3),pdi_score  (w=2),zeta_score (w=1),dl_score   (w=2),perm_score (w=3),formulation_loss,stability_factor,objective
A-A2,3,Capryol_90,Tween_20,Ethanol,A190,8.0625,40.0,8.125,1.9799999999999998,10.13622222,0.158888889,-3.078888889,0.0,104.83999998999998,2.853333333333333e-05,0.0,0.06543209888888889,0.0,0.03723076915384601,-0.08533333333333327,-0.05067426391453006,1.0,-0.05067426391453006
A-B4,3,Capmul_MCM,Tween_20,PEG_400,A190,8.24,25.3,18.5,2.1,11.751111110000002,0.16155555533333332,-3.6566666666666667,0.0,106.13222223333334,2.5266666666666666e-05,0.0,0.06839506148148146,0.0,0.08200854743589758,-0.052666666666666646,0.1428072178347581,1.0,0.1428072178347581
A-B5,3,Maisine_Oil,Tween_20,Transcutol_HP,A190,5.26,23.05,15.88,2.5,14.445555556666667,0.18066666666666667,-3.2955555553333333,0.0,104.13222221000001,2.2033333333333335e-05,0.0,0.08962962962962963,0.0,0.031786324692307764,-0.020333333333333328,0.18183190864387477,1.0,0.18183190864387477
A-C5,3,Capmul_MCM,Tween_20,Propylene_Glycol,A190,5.18,20.65,14.38,3.0,13.804444443333333,0.2915555556666667,-3.8255555556666665,0.0,103.64333333333333,2.9166666666666666e-05,0.0,0.2128395062962963,0.0,0.028025641025641007,-0.09166666666666665,0.2067302946438747,1.0,0.2067302946438747
E2_A,3,Capryol_90,Tween_20,Transcutol_HP,A190,8.325,18.5,21.5,2.025,86.69555556666666,0.219888889,-3.4066666669999996,0.0,101.17059635666665,2.1633333333333335e-05,0.0,0.13320987666666667,0.0,0.009004587358974228,-0.016333333333333335,0.2354289280512818,1.0,0.2354289280512818
F5_A,3,Capryol_90,Tween_20,PEG_400,A190,10.0,20.0,20.0,2.0,157.82222223333335,0.260777778,-2.657777777666667,0.0,103.72026620000001,2.883333333333333e-05,0.06424691359259262,0.17864197555555555,0.0,0.028617432307692398,-0.08833333333333329,0.34225955650427387,1.0,0.34225955650427387
A-A1,3,Capryol_90,Tween_20,Transcutol_HP,A190,8.325,20.0,19.375,1.9799999999999998,23.64333333333333,0.39666666666666667,-3.0411111109999998,0.0,94.78444444333333,2.0900000000000003e-05,0.0,0.3296296296296296,0.0,0.046752136794872,-0.009000000000000015,0.7257635328490032,1.0,0.7257635328490032
A-C3,3,Maisine_Oil,Tween_20,Ethanol,A190,5.0,23.95,14.5,2.6,13.462222220000001,0.16988888866666665,-3.34,0.0,115.70444446666666,2.743333333333333e-05,0.0,0.07765432074074072,0.0,0.4501709410256407,-0.07433333333333328,0.832650523532763,1.0,0.832650523532763
B4_A,3,Capryol_90,Tween_20,Ethanol,A190,8.25,17.0,23.0,1.6499999999999997,24.178888889999996,0.3353333333333333,-3.8200000000000003,0.0,106.57765093333335,1.886666666666667e-05,0.0,0.2614814814814814,0.0,0.09914042051282096,0.056666666666666574,0.8912438039886045,1.0,0.8912438039886045
A-A5,3,Maisine_Oil,Tween_20,Transcutol_HP,A190,5.349999999999999,24.25,15.625,2.025,13.615555553333332,0.11655555566666669,-3.1888888886666664,0.0,105.95333333333333,1.5199999999999998e-05,0.0,0.018395061851851868,0.0,0.07512820512820512,0.24000000000000013,0.9070465339601144,1.0,0.9070465339601144
A-B3,3,Capryol_90,Tween_20,Transcutol_HP,A190,5.79,21.25,19.38,2.3,19.900000000000002,0.5584444446666667,-2.9022222223333336,0.0,109.0711111,1.9066666666666668e-05,0.0,0.5093827162962963,0.0,0.19504273461538446,0.04666666666666667,1.5488509018233616,1.0,1.5488509018233616
A-A3,3,Capryol_90,Tween_20,Propylene_Glycol,A190,8.0625,24.25,15.0,1.995,18.44111111333333,0.4224444443333333,-3.038888888666666,0.0,118.91888886666668,2.1233333333333336e-05,0.0,0.3582716048148148,0.0,0.5738034179487184,-0.012333333333333339,1.8271500455270664,1.0,1.8271500455270664
A-C2,3,Maisine_Oil,Tween_20,Ethanol,A190,5.18,24.25,14.88,2.5,26.045555556666667,0.735111111,-3.4966666666666666,0.0,113.0788889,2.4399999999999997e-05,0.0,0.7056790122222223,0.0,0.3491880346153844,-0.04399999999999995,1.9777340936752135,1.0,1.9777340936752135
A-A4,3,Capryol_90,Tween_80,Transcutol_HP,A190,7.1875,20.0,19.375,2.025,87.11444445333335,0.44566666633333335,-2.6533333336666667,0.0,109.31888887666666,1.1903333333333333e-05,0.0,0.38407407370370367,0.0,0.20457264910256392,0.4048333333333334,2.391793445612535,1.0,2.391793445612535
A-B1,3,Capmul_MCM,Tween_80,Transcutol_HP,A190,7.62,25.45,15.0,2.0,60.31999999666667,0.6523333333333333,-2.856666666666667,0.0,108.89111109999999,1.4066666666666667e-05,0.0,0.6137037037037038,0.0,0.1881196576923073,0.2966666666666667,2.4936467227920223,1.0,2.4936467227920223
A-C4,3,Maisine_Oil,Tween_20,Propylene_Glycol,A190,5.0,21.1,14.5,2.6,10000.0,1.0,100.0,1.0,0.0,0.0,11.0,1.0,9.0,3.692307692307692,1.0,54.38461538461539,0.0,5438.461538461539
A-C1,3,Maisine_Oil,Tween_20,Propylene_Glycol,A190,5.26,20.95,14.88,2.6,10000.0,1.0,100.0,1.0,0.0,0.0,11.0,1.0,9.0,3.692307692307692,1.0,54.38461538461539,0.0,5438.461538461539
A-B2,3,Capryol_90,Tween_20,Propylene_Glycol,A190,14.979999999999999,20.0,14.38,2.1,10000.0,1.0,100.0,1.0,0.0,0.0,11.0,1.0,9.0,3.692307692307692,1.0,54.38461538461539,0.0,5438.461538461539
