Exp,Rep,Oil,Surfactant,Cosurfactant,API_Name,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability,size_score (w=3),pdi_score  (w=2),zeta_score (w=1),dl_score   (w=2),perm_score (w=3),formulation_loss,stability_factor,objective
F5_F,2,Capryol_90,Tween_20,PEG_400,Feno,10.0,20.0,20.0,2.0,12.72333333,0.166666667,-4.216666667,0,104.1213814,2e-05,0.0,0.07407407444444443,0.0,0.03170293384615388,0.0,0.2115540165811966,1.0,0.2115540165811966
F-B1,R1,Capryol_90,Tween_20,Transcutol_HP,Feno,8.94,27.55,13.88,2.3,12.12,0.306666667,-3.83,0,102.0333333,2.49e-05,0.0,0.22962963,0.0,0.01564102538461535,-0.04899999999999997,0.3435413107692308,1.0,0.3435413107692308
F-C3,R2,Capmul_MCM,Tween_80,Propylene_Glycol,Feno,5.18,20.8,5.25,0.1,11.66666667,0.103,-4.83,0,92.66,1.93e-05,0.0,0.003333333333333321,0.0,0.1284615384615386,0.035,0.36858974358974383,1.0,0.36858974358974383
F-C1,R1,Capmul_MCM,Tween_20,Propylene_Glycol,Feno,5.26,20.2,5.12,0.1,12.56666667,0.197,-2.813333333,0,101.91,1.9e-05,0.0,0.10777777777777778,0.0,0.014692307692307666,0.050000000000000024,0.394940170940171,1.0,0.394940170940171
F-C3,R3,Capmul_MCM,Tween_80,Propylene_Glycol,Feno,5.18,20.8,5.25,0.1,12.12,0.126333333,-4.76,0,91.93333333,1.91e-05,0.0,0.029259258888888872,0.0,0.1564102565384617,0.045000000000000075,0.5063390308547013,1.0,0.5063390308547013
F-B1,R2,Capryol_90,Tween_20,Transcutol_HP,Feno,8.94,27.55,13.88,2.3,12.74666667,0.355666667,-2.5,0,96.62333333,2.08e-05,0.0,0.2840740744444444,0.0,0.025974359000000044,-0.007999999999999991,0.5960968668888889,1.0,0.5960968668888889
F5_F,3,Capryol_90,Tween_20,PEG_400,Feno,10.0,20.0,20.0,2.0,13.01666667,0.198,-3.073333333,0,102.8669012,1.76e-05,0.0,0.1088888888888889,0.0,0.02205308615384616,0.12000000000000002,0.6218839500854703,1.0,0.6218839500854703
F-A3,R2,Capryol_90,Tween_20,PEG_400,Feno,8.0625,20.0,11.75,2.31,11.36,0.155333333,-4.053333333,0,97.74666667,1.67e-05,0.0,0.06148148111111109,0.0,0.017333333307692336,0.1650000000000001,0.6526296288376071,1.0,0.6526296288376071
E2_F,2,Capryol_90,Tween_20,Transcutol_HP,Feno,8.325,18.5,21.5,2.025,13.16,0.229666667,-4.216666667,0,100.8299316,1.75e-05,0.0,0.14407407444444442,0.0,0.006384089230769191,0.12500000000000014,0.6759163273504276,1.0,0.6759163273504276
F-B3,R2,Capryol_90,Tween_20,Transcutol_HP,Feno,8.68,28.75,14.0,2.5,12.18,0.309,-2.423333333,0,97.07333333,1.81e-05,0.0,0.23222222222222222,0.0,0.022512820538461563,0.0950000000000001,0.7944700855213678,1.0,0.7944700855213678
F-B5,R2,Capmul_MCM,Tween_80,PEG_400,Feno,5.0,40.0,15.5,1.6,11.25333333,0.063,-4.423333333,0,93.07666667,1.6e-05,0.0,-0.008222222222222223,0.0,0.11243589730769252,0.2000000000000001,0.8084273501709409,1.0,0.8084273501709409
F-C5,R1,Capmul_MCM,Tween_80,Transcutol_HP,Feno,5.35,20.2,10.0,0.1,11.74,0.140666667,-4.296666667,0,95.58,1.55e-05,0.0,0.04518518555555554,0.0,0.034000000000000016,0.22500000000000003,0.8333703711111111,1.0,0.8333703711111111
F-B5,R3,Capmul_MCM,Tween_80,PEG_400,Feno,5.0,40.0,15.5,1.6,11.07666667,0.060666667,-4.083333333,0,93.19,1.57e-05,0.0,-0.008740740666666668,0.0,0.10807692307692317,0.21500000000000014,0.8436723648205134,1.0,0.8436723648205134
E2_F,1,Capryol_90,Tween_20,Transcutol_HP,Feno,8.325,18.5,21.5,2.025,12.18333333,0.179333333,-3.433333333,0,92.74333333,1.69e-05,0.0,0.08814814777777778,0.0,0.12525641038461544,0.15500000000000003,0.8918091163247865,1.0,0.8918091163247865
F-B3,R1,Capryol_90,Tween_20,Transcutol_HP,Feno,8.68,28.75,14.0,2.5,13.32333333,0.392,-2.773333333,0,102.1766667,1.77e-05,0.0,0.3244444444444445,0.0,0.01674358999999999,0.11500000000000007,1.027376068888889,1.0,1.027376068888889
F-A2,R1,Capryol_90,Tween_20,Transcutol_HP,Feno,8.325,20.0,19.375,2.25,21.58333333,0.701666667,-3.346666667,0,109.1566667,4.23e-05,0.0,0.6685185188888889,0.0,0.19833333461538472,-0.22299999999999995,1.0647037070085474,1.0,1.0647037070085474
F-B5,R1,Capmul_MCM,Tween_80,PEG_400,Feno,5.0,40.0,15.5,1.6,11.19333333,0.067666667,-4.313333333,0,101.2433333,1.28e-05,0.0,-0.007185185111111113,0.0,0.009564102307692333,0.3600000000000001,1.0847578343931628,1.0,1.0847578343931628
F-B1,R3,Capryol_90,Tween_20,Transcutol_HP,Feno,8.94,27.55,13.88,2.3,13.03666667,0.345333333,-2.733333333,0,101.9366667,1.66e-05,0.0,0.2725925922222222,0.0,0.01489743615384618,0.17000000000000004,1.084980056752137,1.0,1.084980056752137
F-C5,R2,Capmul_MCM,Tween_80,Transcutol_HP,Feno,5.35,20.2,10.0,0.1,11.91,0.107333333,-4.383333333,0,86.19,1.7e-05,0.0,0.008148147777777774,0.0,0.37730769230769234,0.15000000000000008,1.2209116801709405,1.0,1.2209116801709405
F-C1,R3,Capmul_MCM,Tween_20,Propylene_Glycol,Feno,5.26,20.2,5.12,0.1,13.11,0.232,-2.816666667,0,93.99666667,1.44e-05,0.0,0.14666666666666667,0.0,0.07705128192307707,0.2800000000000001,1.287435897179488,1.0,1.287435897179488
F-B2,R3,Capmul_MCM,Tween_20,PEG_400,Feno,8.06,27.25,5.5,1.7,15.25333333,0.236666667,-4.693333333,0,114.4033333,1.85e-05,0.0,0.15185185222222222,0.0,0.4001282038461539,0.07500000000000012,1.3289601121367525,1.0,1.3289601121367525
E2_F,3,Capryol_90,Tween_20,Transcutol_HP,Feno,8.325,18.5,21.5,2.025,11.81666667,0.259,-3.386666667,0,100.9490996,1.35e-05,0.0,0.17666666666666667,0.0,0.007300766153846129,0.32500000000000007,1.3429348656410258,1.0,1.3429348656410258
F-A5,R3,Capryol_90,Tween_20,Propylene_Glycol,Feno,8.0625,20.0,15.0,2.37,11.59333333,0.164666667,-3.476666667,0,98.70666667,1.18e-05,0.0,0.0718518522222222,0.0,0.00994871792307689,0.41000000000000003,1.3936011402905981,1.0,1.3936011402905981
F-C5,R3,Capmul_MCM,Tween_80,Transcutol_HP,Feno,5.35,20.2,10.0,0.1,12.0,0.120666667,-2.896666667,0,89.90333333,1.41e-05,0.0,0.022962963333333333,0.0,0.2344871796153848,0.29500000000000004,1.3999002858974363,1.0,1.3999002858974363
