Exp,n_reps,Oil,Surfactant,Cosurfactant,API_Name,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability,size_score (w=3),pdi_score  (w=2),zeta_score (w=1),dl_score   (w=2),perm_score (w=3),formulation_loss,stability_factor,objective
F-B1,3,Capryol_90,Tween_20,Transcutol_HP,Feno,8.94,27.55,13.88,2.3,12.634444446666668,0.335888889,-3.0211111109999997,0.0,100.19777777666667,2.0766666666666665e-05,0.0,0.26209876555555556,0.0,0.0015213675128205313,-0.0076666666666666385,0.5042402661367522,1.0,0.5042402661367522
F5_F,3,Capryol_90,Tween_20,PEG_400,Feno,10.0,20.0,20.0,2.0,73.21333333333334,0.2845555556666666,-3.468888889,0.0,102.41498309999999,1.756666666666667e-05,0.0,0.20506172851851845,0.0,0.018576793076922973,0.12166666666666662,0.8122770431908828,1.0,0.8122770431908828
F-B5,3,Capmul_MCM,Tween_80,PEG_400,Feno,5.0,40.0,15.5,1.6000000000000003,11.174444443333334,0.06377777800000001,-4.273333333,0.0,95.83666665666668,1.4833333333333332e-05,0.0,-0.008049382666666667,0.0,0.032025641102564006,0.2583333333333334,0.8229525168717949,1.0,0.8229525168717949
F-C3,3,Capmul_MCM,Tween_80,Propylene_Glycol,Feno,5.18,20.8,5.25,0.10000000000000002,11.763333333333334,0.133222222,-4.993333333333333,0.0,92.39666666666666,1.6766666666666667e-05,0.0,0.036913579999999994,0.0,0.1385897435897438,0.16166666666666674,0.8360066471794878,1.0,0.8360066471794878
E2_F,3,Capryol_90,Tween_20,Transcutol_HP,Feno,8.325,18.5,21.5,2.025,12.386666666666665,0.22266666666666668,-3.678888889,0.0,98.17412151,1.5966666666666667e-05,0.0,0.1362962962962963,0.0,0.014045219153846105,0.2016666666666667,0.9056830309002849,1.0,0.9056830309002849
F-B3,3,Capryol_90,Tween_20,Transcutol_HP,Feno,8.68,28.75,14.0,2.5,13.92111111,0.324888889,-3.1022222220000004,0.0,94.93333334333333,1.71e-05,0.0,0.24987654333333334,0.0,0.04102564064102574,0.14500000000000013,1.0168043679487186,1.0,1.0168043679487186
F-C1,3,Capmul_MCM,Tween_20,Propylene_Glycol,Feno,5.26,20.2,5.12,0.10000000000000002,13.42777778,0.22222222233333336,-2.8555555556666667,0.0,97.53888889,1.51e-05,0.0,0.1358024692592593,0.0,0.018931623923076957,0.24500000000000008,1.0444681863646728,1.0,1.0444681863646728
F-C5,3,Capmul_MCM,Tween_80,Transcutol_HP,Feno,5.349999999999999,20.2,10.0,0.10000000000000002,11.883333333333333,0.122888889,-3.8588888889999997,0.0,90.55777777666667,1.5533333333333336e-05,0.0,0.025432098888888883,0.0,0.20931623935897428,0.22333333333333327,1.1394966764957262,1.0,1.1394966764957262
F-A2,3,Capryol_90,Tween_20,Transcutol_HP,Feno,8.325,20.0,19.375,2.25,19.365555553333333,0.6304444446666667,-3.0366666666666666,0.0,94.78333334333333,2.3199999999999998e-05,0.0,0.5893827162962963,0.0,0.046794871410256726,-0.031999999999999966,1.1763551754131063,1.0,1.1763551754131063
F-A5,3,Capryol_90,Tween_20,Propylene_Glycol,Feno,8.0625,20.0,15.0,2.37,11.212222220000001,0.1942222223333333,-3.493333333666667,0.0,100.02333334666666,1.17e-05,0.0,0.1046913581481481,0.0,0.0001794872820512366,0.41500000000000004,1.4547416908603987,1.0,1.4547416908603987
