api,rank,campaign,exp,rep,objective
A190,1,Campaign 2,A-B5,R3,-0.07249
A190,2,Campaign 2,A-B5,R1,0.02047
A190,3,Campaign 2,A-B4,R3,0.102724
A190,4,Campaign 1,E2_A,1,0.134305
A190,5,Campaign 2,A-C5,R2,0.190712
A190,6,Campaign 2,A-B4,R2,0.242741
A190,7,Campaign 2,A-C5,R1,0.332795
A190,8,Campaign 1,F5_A,3,0.349447
A190,9,Campaign 2,A-B4,R1,0.349829
A190,10,Campaign 1,E2_A,2,0.362577
A190,11,Campaign 1,F5_A,1,0.392088
A190,12,Campaign 2,A-C5,R3,0.404376
A190,13,Campaign 2,A-A2,R3,0.412575
A190,14,Campaign 2,A-A5,R3,0.451393
A190,15,Campaign 1,E2_A,3,0.471756
A190,16,Campaign 1,F5_A,2,0.496985
A190,17,Campaign 1,B4_A,3,0.542924
A190,18,Campaign 2,A-A2,R1,0.56733
A190,19,Campaign 2,A-C3,R2,0.725718
A190,20,Campaign 2,A-C3,R1,0.788459
A190,21,Campaign 2,A-A1,R2,0.870413
A190,22,Campaign 2,A-A5,R1,0.928504
A190,23,Campaign 2,A-A1,R1,0.970587
A190,24,Campaign 2,A-C3,R3,0.983775
A190,25,Campaign 1,B4_A,2,1.034014
A190,26,Campaign 2,A-A1,R3,1.048598
A190,27,Campaign 2,A-A2,R2,1.079046
A190,28,Campaign 2,A-A3,R2,1.141117
A190,29,Campaign 2,A-B3,R1,1.351225
A190,30,Campaign 1,B4_A,1,1.351311
A190,31,Campaign 2,A-B5,R2,1.473105
A190,32,Campaign 2,A-A5,R2,1.490621
A190,33,Campaign 2,A-C2,R1,1.529957
A190,34,Campaign 2,A-B3,R2,1.623761
A190,35,Campaign 2,A-B3,R3,1.671567
A190,36,Campaign 2,A-A4,R3,1.704272
A190,37,Campaign 2,A-A4,R2,1.919373
A190,38,Campaign 2,A-A3,R3,1.977527
A190,39,Campaign 2,A-C2,R3,2.164274
A190,40,Campaign 2,A-C2,R2,2.238972
A190,41,Campaign 2,A-B1,R1,2.277906
A190,42,Campaign 2,A-B1,R2,2.32208
A190,43,Campaign 2,A-A3,R1,2.542806
A190,44,Campaign 2,A-B1,R3,2.880954
A190,45,DoE,DoE-OPT,2,3.193676
A190,46,DoE,DoE-OPT,3,3.254476
A190,47,DoE,DoE-OPT,1,4.032762
A190,48,Campaign 2,A-A4,R1,4.119454
Feno,1,Campaign 1,F5_F,2,0.211554
Feno,2,Campaign 2,F-B1,R1,0.343541
Feno,3,Campaign 2,F-C3,R2,0.36859
Feno,4,Campaign 2,F-C1,R1,0.39494
Feno,5,Campaign 2,F-C3,R3,0.506339
Feno,6,Campaign 2,F-B1,R2,0.596097
Feno,7,Campaign 1,F5_F,3,0.621884
Feno,8,Campaign 2,F-A3,R2,0.65263
Feno,9,Campaign 1,E2_F,2,0.675916
Feno,10,Campaign 2,F-B3,R2,0.79447
Feno,11,Campaign 2,F-B5,R2,0.808427
Feno,12,Campaign 2,F-C5,R1,0.83337
Feno,13,Campaign 2,F-B5,R3,0.843672
Feno,14,Campaign 1,E2_F,1,0.891809
Feno,15,Campaign 2,F-B3,R1,1.027376
Feno,16,Campaign 2,F-A2,R1,1.064704
Feno,17,Campaign 2,F-B5,R1,1.084758
Feno,18,Campaign 2,F-B1,R3,1.08498
Feno,19,Campaign 2,F-C5,R2,1.220912
Feno,20,Campaign 2,F-C1,R3,1.287436
Feno,21,Campaign 2,F-B2,R3,1.32896
Feno,22,Campaign 1,E2_F,3,1.342935
Feno,23,Campaign 2,F-A5,R3,1.393601
Feno,24,Campaign 2,F-C5,R3,1.3999
Feno,25,Campaign 2,F-A5,R1,1.455265
Feno,26,Campaign 2,F-C1,R2,1.571541
Feno,27,Campaign 2,F-A5,R2,1.576795
Feno,28,Campaign 2,F-C3,R1,1.633091
Feno,29,Campaign 2,F-B3,R3,1.864772
Feno,30,Campaign 2,F-C2,R1,1.911077
Feno,31,Campaign 1,F5_F,1,1.916393
Feno,32,Campaign 2,F-A1,R3,1.950892
Feno,33,Campaign 2,F-B4,R1,1.968484
Feno,34,Campaign 2,F-B2,R1,1.997792
Feno,35,Campaign 1,B4_F,3,2.174352
Feno,36,Campaign 2,F-B4,R2,2.212074
Feno,37,Campaign 2,F-A1,R2,2.305305
Feno,38,Campaign 1,B4_F,1,2.338336
Feno,39,Campaign 2,F-C2,R3,2.357194
Feno,40,Campaign 2,F-A1,R1,2.457194
Feno,41,Campaign 2,F-B2,R2,2.477165
Feno,42,Campaign 1,B4_F,2,2.504563
Feno,43,Campaign 2,F-A3,R3,2.563293
Feno,44,Campaign 2,F-A2,R3,2.581282
Feno,45,Campaign 2,F-C2,R2,2.584618
Feno,46,Campaign 2,F-B4,R3,2.649312
Feno,47,Campaign 2,F-A4,R2,2.743187
Feno,48,Campaign 2,F-A2,R2,2.815798
Feno,49,Campaign 2,F-A4,R1,2.819476
Feno,50,Campaign 2,F-A4,R3,3.358459
Feno,51,Campaign 2,F-A3,R1,3.973417
