api,rank,exp,campaign,Droplet_Size,PDI,Zeta_P,Phase_Sep,size_score (w=1),pdi_score (w=1),zeta_score (w=1),sep_score (w=10),orig_objective
A190,1,A-A5,Campaign 2,13.615556,0.116556,-3.188889,0.0,0.0,0.029139,0.0,0.0,0.029139
A190,2,A-A2,Campaign 2,10.136222,0.158889,-3.078889,0.0,0.0,0.039722,0.0,0.0,0.039722
A190,3,A-B4,Campaign 2,11.751111,0.161556,-3.656667,0.0,0.0,0.040389,0.0,0.0,0.040389
A190,4,A-C3,Campaign 2,13.462222,0.169889,-3.34,0.0,0.0,0.042472,0.0,0.0,0.042472
A190,5,A-B5,Campaign 2,14.445556,0.180667,-3.295556,0.0,0.0,0.045167,0.0,0.0,0.045167
A190,6,E2_A,Campaign 1,86.695556,0.219889,-3.406667,0.0,0.0,0.054972,0.0,0.0,0.062812
A190,7,F5_A,Campaign 1,157.822222,0.260778,-2.657778,0.0,0.064247,0.065194,0.0,0.0,0.129441
A190,8,A-C5,Campaign 2,13.804444,0.291556,-3.825556,0.0,0.0,0.072889,0.0,0.0,0.167889
A190,9,B4_A,Campaign 1,24.178889,0.335333,-3.82,0.0,0.0,0.335333,0.0,0.0,0.260917
A190,10,A-A1,Campaign 2,23.643333,0.396667,-3.041111,0.0,0.0,0.396667,0.0,0.0,0.324333
A190,11,DoE-OPT,DoE,184.562963,0.325185,-5.477037,0.0,0.093959,0.325185,0.0,0.0,0.419144
A190,12,A-A3,Campaign 2,18.441111,0.422444,-3.038889,0.0,0.0,0.422444,0.0,0.0,0.422444
A190,13,A-A4,Campaign 2,87.114444,0.445667,-2.653333,0.0,0.0,0.445667,0.0,0.0,0.445795
A190,14,A-B3,Campaign 2,19.9,0.558444,-2.902222,0.0,0.0,0.558444,0.0,0.0,0.558444
A190,15,A-B1,Campaign 2,60.32,0.652333,-2.856667,0.0,0.0,0.652333,0.0,0.0,0.652333
A190,16,A-C2,Campaign 2,26.045556,0.735111,-3.496667,0.0,0.0,0.735111,0.0,0.0,0.735111
Feno,1,F-B5,Campaign 2,11.174444,0.063778,-4.273333,0.0,0.0,0.015944,0.0,0.0,0.015944
Feno,2,F-C5,Campaign 2,11.883333,0.122889,-3.858889,0.0,0.0,0.030722,0.0,0.0,0.030722
Feno,3,F-C3,Campaign 2,11.763333,0.133222,-4.993333,0.0,0.0,0.033306,0.0,0.0,0.033306
Feno,4,F-A3,Campaign 2,11.446667,0.167222,-3.826667,0.0,0.0,0.041806,0.0,0.0,0.041806
Feno,5,F-A1,Campaign 2,11.747778,0.184778,-2.527778,0.0,0.0,0.046194,0.0,0.0,0.046194
Feno,6,F-A5,Campaign 2,11.212222,0.194222,-3.493333,0.0,0.0,0.048556,0.0,0.0,0.048556
Feno,7,F-B2,Campaign 2,12.8,0.195222,-3.742222,0.0,0.0,0.048806,0.0,0.0,0.048806
Feno,8,F-C1,Campaign 2,13.427778,0.222222,-2.855556,0.0,0.0,0.055556,0.0,0.0,0.055556
Feno,9,E2_F,Campaign 1,12.386667,0.222667,-3.678889,0.0,0.0,0.055667,0.0,0.0,0.055667
Feno,10,F5_F,Campaign 1,73.213333,0.284556,-3.468889,0.0,0.0,0.071139,0.0,0.0,0.228167
Feno,11,F-B3,Campaign 2,13.921111,0.324889,-3.102222,0.0,0.0,0.324889,0.0,0.0,0.256472
Feno,12,F-B1,Campaign 2,12.634444,0.335889,-3.021111,0.0,0.0,0.335889,0.0,0.0,0.335889
Feno,13,F-A4,Campaign 2,113.481111,0.379889,-2.751111,0.0,0.014979,0.379889,0.0,0.0,0.394868
Feno,14,B4_F,Campaign 1,211.911111,0.360222,-2.9,0.0,0.124346,0.360222,0.0,0.0,0.410401
Feno,15,F-C2,Campaign 2,15.302222,0.417333,-3.265556,0.0,0.0,0.417333,0.0,0.0,0.417333
Feno,16,F-B4,Campaign 2,136.133333,0.418556,-2.806667,0.0,0.040148,0.418556,0.0,0.0,0.458704
Feno,17,F-A2,Campaign 2,19.365556,0.630444,-3.036667,0.0,0.0,0.630444,0.0,0.0,0.630444
