api,rank,campaign,exp,rep,orig_objective
A190,1,Campaign 2,A-A5,R2,0.021167
A190,2,Campaign 2,A-A5,R3,0.02375
A190,3,Campaign 2,A-A2,R1,0.026583
A190,4,Campaign 2,A-B4,R2,0.031083
A190,5,Campaign 2,A-B5,R3,0.035583
A190,6,Campaign 2,A-A2,R3,0.035917
A190,7,Campaign 2,A-B4,R3,0.036083
A190,8,Campaign 2,A-B5,R1,0.039
A190,9,Campaign 2,A-C3,R3,0.041333
A190,10,Campaign 2,A-C3,R1,0.041583
A190,11,Campaign 2,A-A5,R1,0.0425
A190,12,Campaign 2,A-C3,R2,0.0445
A190,13,Campaign 2,A-B4,R1,0.054
A190,14,Campaign 2,A-A2,R2,0.056667
A190,15,Campaign 2,A-B5,R2,0.060917
A190,16,Campaign 1,E2_A,1,0.061102
A190,17,Campaign 2,A-C5,R2,0.061167
A190,18,Campaign 1,E2_A,3,0.062417
A190,19,Campaign 2,A-C5,R1,0.0625
A190,20,Campaign 1,E2_A,2,0.064917
A190,21,Campaign 2,A-A1,R1,0.072333
A190,22,Campaign 1,B4_A,1,0.074417
A190,23,Campaign 1,F5_A,1,0.117435
A190,24,Campaign 1,F5_A,3,0.132426
A190,25,Campaign 1,F5_A,2,0.138463
A190,26,Campaign 2,A-A3,R2,0.317333
A190,27,Campaign 1,B4_A,3,0.338333
A190,28,Campaign 2,A-A1,R2,0.351667
A190,29,Campaign 1,B4_A,2,0.37
A190,30,Campaign 2,A-A4,R3,0.377719
A190,31,Campaign 2,A-C5,R3,0.38
A190,32,DoE,DoE-OPT,2,0.409852
A190,33,Campaign 2,A-A3,R1,0.416667
A190,34,DoE,DoE-OPT,3,0.422296
A190,35,DoE,DoE-OPT,1,0.425284
A190,36,Campaign 2,A-A4,R1,0.462333
A190,37,Campaign 2,A-A4,R2,0.497333
A190,38,Campaign 2,A-B3,R1,0.526667
A190,39,Campaign 2,A-A3,R3,0.533333
A190,40,Campaign 2,A-A1,R3,0.549
A190,41,Campaign 2,A-B3,R3,0.558667
A190,42,Campaign 2,A-B3,R2,0.59
A190,43,Campaign 2,A-B1,R2,0.633667
A190,44,Campaign 2,A-B1,R1,0.645
A190,45,Campaign 2,A-C2,R3,0.65
A190,46,Campaign 2,A-B1,R3,0.678333
A190,47,Campaign 2,A-C2,R1,0.732
A190,48,Campaign 2,A-C2,R2,0.823333
Feno,1,Campaign 2,F-B5,R3,0.015167
Feno,2,Campaign 2,F-B5,R2,0.01575
Feno,3,Campaign 2,F-B5,R1,0.016917
Feno,4,Campaign 2,F-C3,R2,0.02575
Feno,5,Campaign 2,F-C5,R2,0.026833
Feno,6,Campaign 2,F-C5,R3,0.030167
Feno,7,Campaign 2,F-C3,R3,0.031583
Feno,8,Campaign 2,F-C5,R1,0.035167
Feno,9,Campaign 2,F-B2,R2,0.036667
Feno,10,Campaign 2,F-A3,R2,0.038833
Feno,11,Campaign 2,F-A1,R3,0.039417
Feno,12,Campaign 2,F-A3,R1,0.040917
Feno,13,Campaign 2,F-A5,R3,0.041167
Feno,14,Campaign 1,F5_F,2,0.041667
Feno,15,Campaign 2,F-A1,R1,0.042583
Feno,16,Campaign 2,F-C3,R1,0.042583
Feno,17,Campaign 1,E2_F,1,0.044833
Feno,18,Campaign 2,F-A3,R3,0.045667
Feno,19,Campaign 2,F-C1,R1,0.04925
Feno,20,Campaign 1,F5_F,3,0.0495
Feno,21,Campaign 2,F-B2,R1,0.050583
Feno,22,Campaign 2,F-A5,R2,0.052
Feno,23,Campaign 2,F-A5,R1,0.0525
Feno,24,Campaign 2,F-A1,R2,0.056583
Feno,25,Campaign 1,E2_F,2,0.057417
Feno,26,Campaign 2,F-C1,R3,0.058
Feno,27,Campaign 2,F-B2,R3,0.059167
Feno,28,Campaign 2,F-C1,R2,0.059417
Feno,29,Campaign 1,E2_F,3,0.06475
Feno,30,Campaign 2,F-B3,R3,0.068417
Feno,31,Campaign 1,B4_F,1,0.153685
Feno,32,Campaign 2,F-B1,R1,0.306667
Feno,33,Campaign 2,F-B3,R2,0.309
Feno,34,Campaign 2,F-C2,R1,0.334
Feno,35,Campaign 2,F-C2,R3,0.344333
Feno,36,Campaign 2,F-A4,R2,0.344667
Feno,37,Campaign 2,F-B1,R3,0.345333
Feno,38,Campaign 2,F-B1,R2,0.355667
Feno,39,Campaign 2,F-B4,R1,0.377852
Feno,40,Campaign 2,F-B3,R1,0.392
Feno,41,Campaign 2,F-A4,R3,0.412074
Feno,42,Campaign 2,F-B4,R2,0.422037
Feno,43,Campaign 2,F-A4,R1,0.427863
Feno,44,Campaign 2,F-A2,R2,0.468667
Feno,45,Campaign 1,B4_F,2,0.503111
Feno,46,Campaign 2,F-C2,R2,0.573667
Feno,47,Campaign 1,B4_F,3,0.574407
Feno,48,Campaign 2,F-B4,R3,0.576222
Feno,49,Campaign 1,F5_F,1,0.593333
Feno,50,Campaign 2,F-A2,R1,0.701667
Feno,51,Campaign 2,F-A2,R3,0.721
