api,exp,campaign,rank_before,objective_before,rank_after,objective_after,rank_delta
A190,A-B4,Campaign 2,2.0,0.231764,1,0.231764,1.0
A190,A-C5,Campaign 2,3.0,0.309515,2,0.309294,1.0
A190,E2_A,Campaign 1,1.0,0.134305,3,0.322879,-2.0
A190,F5_A,Campaign 1,4.0,0.392088,4,0.41284,0.0
A190,A-B5,Campaign 2,5.0,0.473695,5,0.473695,0.0
A190,A-A2,Campaign 2,6.0,0.686317,6,0.686317,0.0
A190,A-C3,Campaign 2,7.0,0.832238,7,0.832651,0.0
A190,A-A5,Campaign 2,8.0,0.95684,8,0.95684,0.0
A190,A-A1,Campaign 2,9.0,0.963199,9,0.963199,0.0
A190,B4_A,Campaign 1,10.0,1.351311,10,0.976083,0.0
A190,A-B3,Campaign 2,11.0,1.548851,11,1.548851,0.0
A190,A-A3,Campaign 2,12.0,1.88715,12,1.88715,0.0
A190,A-C2,Campaign 2,13.0,1.977052,13,1.977734,0.0
A190,A-B1,Campaign 2,14.0,2.493647,14,2.493647,0.0
A190,A-A4,Campaign 2,15.0,2.581033,15,2.581033,0.0
A190,DoE-OPT,DoE,,,16,3.493638,
Feno,F-B1,Campaign 2,1.0,0.674873,1,0.674873,0.0
Feno,F-C3,Campaign 2,2.0,0.83808,2,0.836007,0.0
Feno,F-B5,Campaign 2,4.0,0.912286,3,0.912286,1.0
Feno,F5_F,Campaign 1,9.0,1.916393,4,0.91661,5.0
Feno,E2_F,Campaign 1,3.0,0.891809,5,0.97022,-2.0
Feno,F-C1,Campaign 2,5.0,1.084215,6,1.084639,-1.0
Feno,F-C5,Campaign 2,6.0,1.154832,7,1.151394,-1.0
Feno,F-B3,Campaign 2,7.0,1.228873,8,1.228873,-1.0
Feno,F-A5,Campaign 2,8.0,1.47522,9,1.47522,-1.0
Feno,F-B2,Campaign 2,10.0,1.934639,10,1.934639,0.0
Feno,F-A2,Campaign 2,11.0,2.153928,11,2.153928,0.0
Feno,F-A1,Campaign 2,12.0,2.237797,12,2.237797,0.0
Feno,F-B4,Campaign 2,13.0,2.276623,13,2.276623,0.0
Feno,F-C2,Campaign 2,14.0,2.282311,14,2.284296,0.0
Feno,B4_F,Campaign 1,15.0,2.338336,15,2.339084,0.0
Feno,F-A3,Campaign 2,16.0,2.396447,16,2.396447,0.0
Feno,F-A4,Campaign 2,17.0,2.973707,17,2.973707,0.0
