Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Oil,Surfactant,Cosurfactant,API_Name,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability,Objective Function,Unnamed: 15
7.62,25.45,15.0,2.0,Capmul_MCM,Tween_80,Transcutol_HP,A190,119.6607325,0.362965422,-3.287935386,0.000146849,106.9849376,1.9e-05,1.034384153,
14.98,20.0,14.38,2.1,Capryol_90,Tween_20,Propylene_Glycol,A190,45.37980664,0.352290602,-3.09998646,0.000254655,112.2097945,2.51e-05,1.050415646,
5.79,21.25,19.38,2.3,Capryol_90,Tween_20,Transcutol_HP,A190,40.15911025,0.327151946,-2.925777967,0.00055537,99.859576,2.2e-05,0.473511604,
8.24,25.3,18.5,2.1,Capmul_MCM,Tween_20,PEG_400,A190,130.5965949,0.367486049,-3.259123106,0.000206356,105.1239772,1.9e-05,0.940704521,
5.26,23.05,15.88,2.5,Maisine_Oil,Tween_20,Transcutol_HP,A190,21.09626405,0.300707812,-3.188641645,0.001983253,104.7531411,1.85e-05,0.840672217,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
